Drug,Label,MolecularWeight,XLogP,HydrogenBondDonorCount,HydrogenBondAcceptorCount,PolarSurfaceArea,FormalCharge,NumRings,RotatableBondCount,Refractivity,LogpSolubility,Ro5,Ghose,Veber,ExAC_loss_frequency,target_betweenness,target_degree,number_targets,Blood,Skin,Brain,Testis,Adipose Tissue,Muscle,Nerve,Blood Vessel,Heart,Lung,Esophagus,Kidney,Thyroid,Pituitary,Uterus,Pancreas,VagiNaN,Stomach,AdreNaNl Gland,Colon,Prostate,Spleen,Liver,Fallopian Tube,Ovary,Breast,Bladder,Cervix Uteri,Small Intestine,Salivary Gland
Cyclopentolate,passed,291.1834437,2.316218386,1,3,49.77,0,2,7,82.8058,1.5,1,1,0,NaN,1128.504699,12,1,0,0.56154722,8.412851334,0.096316528,0.011496504,0,0.024624201,0.010120378,0.026279107,1.19683969,0.070568055,0.068023879,0.089852415,0.016241701,0.041868212,0.067557536,0.014699453,0.323356718,0.033154683,0.334567934,10,0,0,0.06063487,0.007442935,0.69010514,0.026520329,0.07915511,0.221445233,4.811089993
Cyclosporine,failed,1201.841368,6.916573835,5,16,292.76,0,1,15,329.2285,0.00581,0,0,0,0.469387755,28805.04648,78,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cyclothiazide,passed,389.0270751,0.943913855,3,5,118.36,0,4,2,92.6485,0.279,1,1,0,1,27332.2638,26,2,10,5.067505121,10,10,10,10,1.179720581,0.573862731,5.158444405,10,1.370481133,10,10,6.354887724,2.264195204,10,3.188336015,10,4.109553099,10,1.884492457,5.651741266,10,1.317157984,1.869165063,10,2.33104372,1.641260982,2.001991272,10
Cycrimine,passed,287.2249146,3.788116829,1,2,23.47,0,3,5,88.6042,0.00909,1,1,1,NaN,1128.504699,12,3,0,0.56154722,8.412851334,0.096316528,0.011496504,0,0.024624201,0.010120378,0.026279107,1.19683969,0.070568055,0.068023879,0.089852415,0.016241701,0.041868212,0.067557536,0.014699453,0.323356718,0.033154683,0.334567934,10,0,0,0.06063487,0.007442935,0.69010514,0.026520329,0.07915511,0.221445233,4.811089993
Cyproheptadine,passed,287.1673997,4.382841647,0,1,3.24,0,4,0,105.1742,0.0136,1,1,1,0.557692308,23664.94249,30,3,0.015715607,3.65049243,8.412851334,0.650991708,2.634119272,0.206760287,4.439896584,3.860967875,6.764817238,1.866600156,1.18233645,0.496618852,0.802930653,0.221367896,1.706133068,0.493829697,2.750898838,0.513489544,0.26927653,3.630660295,10,0.453772113,0.130754955,2.241176188,1.707205772,2.094831586,4.940295696,2.547428608,1.58886683,4.811089993
Cytarabine,failed,243.0855205,-2.797517284,4,7,128.61,0,2,2,54.5448,43.8,1,0,0,0.555555556,5081.478659,40,1,4.744058609,4.934298277,7.653360367,10,3.977080822,7.507356167,4.7747612,3.106850863,4.960781574,4.583138943,3.511733055,3.827021837,5.185718775,10,4.725462437,3.398927927,5.956421614,4.096060753,5.530449152,3.091706634,9.075609684,6.122698545,4.637019157,4.757555485,6.178425312,5.616961002,3.52810216,4.682060719,4.021503448,5.831629276
Dabigatran Etexilate,passed,627.3169175,4.593332732,2,8,154.03,0,4,17,176.429,0.00466,0,0,0,0.425,107372.099,102,2,0.024958808,0.012721475,0.081782609,0.647677392,0.013637803,0,0.013692165,0.118668281,0.028373627,0,0.058408707,0.082165267,0.004116542,0.078181285,0.04873487,0.023250744,0.04590847,0.160794795,0.021115854,0.090677246,0.100363117,0.045316812,10,0.061023325,0.054617453,0.020174173,0.078148,0.045172289,0.034783196,0.019617708
Dabrafenib,passed,519.1010509,5.459618017,2,6,110.86,0,4,5,127.5141,0.00327,0,0,0,0.446808511,251309.1545,246,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Dalfampridine,passed,94.0530982,0.286413164,2,2,35.88,0,1,0,40.0884,6.73,1,0,1,0.513888889,48542.27555,32,0,0.031363647,1.726536989,10,1.448070228,2.163654566,0.665258169,1.214681208,3.360435486,4.496019363,1.294655561,3.730516911,0.43915388,1.046495795,3.408173919,3.166128635,2.089816093,2.113108039,1.542994142,2.810641885,1.347414196,5.165090322,2.101608396,3.429589152,4.402866125,1.537622929,1.426393986,7.46541214,1.641852498,1.706915021,1.295656443
DaNaNzol,passed,337.2041791,3.462082192,1,2,46.26,0,5,0,98.5352,0.0176,1,1,0,0.597701149,1307522.364,656,22,0.825699806,10,2.178578615,3.129991651,10,2.188933849,10,10,10,10,8.439990997,10,10,10,10,10,10,10,10,10,10,5.43327117,8.380415916,10,6.273174286,10,3.691606045,10,10,9.548763275
Dantrolene,passed,314.0651195,1.256485485,1,5,120.73,0,3,4,78.8745,0.0805,1,1,0,0.52,39087.93027,32,0,0.15445587,0.486367717,3.38732934,3.866462231,0.411068201,10,1.53781724,0.218487486,0.148023009,0.399572104,0.505251884,0.153070167,0.304082528,0.314977318,0.164686084,0.076247841,0.531273305,0.173295006,0.279200494,0.232248239,0.3413039,0.321901649,0.055107683,0.262166977,0.191883072,0.476620466,0.215270668,0.279744416,0.490762591,2.175966263
Dapiprazole,passed,325.2266459,2.415873691,0,4,37.19,0,4,4,100.2216,0.751,1,1,1,0.546511628,11762.58263,22,0,0,0.978405893,1.075728416,0.761629105,1.916011453,0.173607916,2.548811913,7.03880024,1.22844255,3.401805401,0.343037367,1.026302427,1.499414742,0.312252998,1.993112683,0.16825217,2.201523066,0.484036595,1.186374843,0.47661376,2.583077073,7.962255955,7.432229042,3.192496419,1.602347612,1.393755913,1.280347109,5.440880299,0.974303901,0.368365675
Dasatinib,failed,487.1557215,3.820938309,3,8,106.51,0,4,7,133.0762,0.0128,1,0,0,0.526462396,1917483.805,804,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Daunorubicin,passed,527.1791462,1.733693141,5,11,185.84,0,5,4,132.8915,0.627,0,0,0,0.44966443,13574.60916,80,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.82285881,10,10,10,10,10,10,10
Debrisoquin,passed,175.1109474,1.067108073,2,3,53.11,0,2,0,63.8503,0.842,1,1,0,0.379844961,82.10837366,4,4,0,0.103333596,0.005360224,2.973424554,0.26832509,0,0.080206931,0.007478196,0,0,0.09731549,0.075067379,0,0,0.189510755,0.007961702,0.077536326,0.011246736,0.119057722,0.023601365,0.079251256,0,0.022387558,0.078769002,0.02607855,0.355366111,0.108225472,0.103928745,0.066164643,0.068645827
Decamethonium,passed,258.3034992,-4.871124845,0,0,0,2,0,11,106.9504,7.04E-06,1,0,0,NaN,51784.02287,20,1,0.732271254,0.21135363,10,3.61620748,0.461096585,7.819921017,0.36488162,0.302383691,0.525769651,1.525265336,0.886162221,1.865379155,0.76601088,5.354573965,2.243912697,1.134945989,1.186487257,0.504009545,0.459137335,3.539183021,6.240046263,2.052807093,0.928801149,1.689638317,2.201324463,0.871683776,0.510498822,1.51731658,4.156428337,3.473966599
Degarelix,failed,1630.748797,-1.416469101,17,18,512.87,0,8,41,431.128,0.0041,0,0,0,0.431818182,321.672921,4,1,0,0.052707678,0.116794765,0.059752885,0.02820882,0.010505804,0.12837138,0.058950331,0.023651952,0.046128746,0.087988012,0.042430367,0.17472437,2.87913692,0.062229788,0.068005212,0.19432468,0.054388724,0.086703878,0.048296539,0.12044204,0.060160674,0.047765687,0.054959567,0.116061583,0.081378903,0.09559083,0.091445364,0.05869009,0.15569745
Demecarium,passed,556.3988562,-1.418755321,0,2,59.08,2,2,17,185.7106,1.69E-05,0,0,0,0.565445026,51784.02287,20,0,0.732271254,1.068140745,10,3.61620748,0.614776731,7.819921017,0.389408782,0.333128482,0.735573649,3.62605238,5.883807182,1.865379155,0.76601088,5.354573965,6.599007607,1.134945989,1.764389098,0.504009545,0.686827511,4.312083483,4.219288111,2.052807093,10,10,2.201324463,1.124231815,1.970343351,6.333235741,4.156428337,3.473966599
Deserpidine,passed,578.2628162,3.689167208,1,7,108.55,0,6,9,154.9553,0.0111,0,0,0,0.489932886,485.1571996,14,4,1.305498481,3.052100062,3.157995462,1.757405221,3.386632442,1.550373554,3.515752673,2.809069872,1.551374435,5.412709236,3.591173649,2.293737411,1.921528518,2.256370544,3.461298704,3.911991835,10,5.469656944,2.005632758,3.836916924,4.738250971,1.425735116,3.467369676,3.265321732,6.351439953,2.6016711,3.878075361,6.274841785,4.971491814,2.866327763
Desflurane,passed,168.0009839,2.402510823,0,1,9.23,0,0,3,18.1205,3.54,1,0,1,0.52991453,22183.96516,96,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Desipramine,passed,266.1782987,3.895520857,1,2,15.27,0,3,4,85.3109,0.0396,1,1,1,0.495495495,89139.86205,74,2,7.685762405,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Deslanoside,passed,942.4824302,0.595845026,9,18,282.21,0,9,10,225.6461,0.468,0,0,0,0.352112676,55774.75576,602,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Desmopressin,passed,1068.426955,-6.128255122,14,15,435.41,0,4,19,279.7799,0.11,0,0,0,0.512820513,4692.728027,22,1,0.133901045,0.284442008,0.056104716,0.310492232,5.939369202,0.628971159,2.086592555,2.706563234,1.508093596,0.527942777,1.149712682,2.500709772,2.872579932,3.8947891,2.735989332,0.304345608,1.471088588,0.739970028,9.018140793,0.616461396,0.896664977,0.389720246,2.977260828,3.371583939,0.274287552,3.439258456,1.452204704,2.021616936,1.022432804,1.188036919
Desogestrel,passed,310.2296656,4.420642467,1,1,20.23,0,4,1,95.7335,0.00301,1,1,1,0.591111111,1307522.364,656,2,0.058904357,0.226209901,0.18730858,1.198394299,0.941250026,0.241446048,0.752880543,4.112647057,1.349327683,0.831195831,0.698457599,0.335101813,0.930546701,2.723376274,10,0.155825898,10,0.26854822,0.940205961,0.65966481,2.13158083,0.633367896,1.937414885,10,6.273174286,2.848439336,1.470778465,10,0.310325801,0.372481614
Desoximetasone,passed,376.2049876,2.351041073,2,4,74.6,0,4,2,101.1699,0.031,1,1,0,0.350282486,256392.7478,268,3,6.519165516,9.529127598,5.496713638,4.095000267,10,10,10,9.420459747,4.368388176,9.541958809,6.618411541,2.70279932,8.644962311,8.877725124,6.923449516,2.976455688,7.945681095,4.709535599,3.025994658,3.700628638,6.544697762,5.595084667,4.75985527,6.586448193,5.095907211,10,6.734411716,7.282115936,5.538618088,5.745376587
Desvenlafaxine,passed,263.188529,2.293426606,2,3,43.7,0,2,4,78.5419,1.4,1,1,0,0.431952663,777.3190049,8,0,0.084211901,0.103767857,0.067612879,2.973424554,0.26832509,0.033454031,0.286698222,0.062439412,0.042957168,10,0.184468821,0.110948335,0.129352517,0.056317365,0.189510755,0.118998997,0.151783697,0.037012603,0.119057722,0.116031751,0.079251256,0.107961647,0.022387558,0.149731591,0.037824892,0.355366111,0.108225472,0.103928745,1.802167773,0.104218438
Dexamethasone,failed,392.1999022,1.68156968,3,5,94.83,0,4,2,102.4929,0.0505,1,1,0,0.509090909,256392.7478,268,4,10,10,5.496713638,10,10,10,10,10,10,10,10,10,10,10,10,4.402533054,10,10,10,10,10,10,4.75985527,10,10,10,10,10,10,10
Dexbrompheniramine,passed,318.0731613,3.749658864,0,2,16.13,0,2,5,83.6683,0.0127,1,1,1,0.392156863,0,0,10,0.015715607,3.65049243,0.821691573,0.468008608,2.634119272,0.206760287,4.439896584,3.860967875,0.27770406,1.866600156,1.18233645,0.496618852,0.802930653,0.221367896,1.706133068,0.125068769,2.750898838,0.407100767,0.26927653,2.138170123,1.168346405,0.453772113,0.050176028,2.241176188,1.707205772,2.094831586,2.018864393,2.547428608,1.58886683,0.826448143
Dexmedetomidine,failed,200.1313485,3.390314839,1,1,28.68,0,2,2,62.9831,0.174,1,1,1,0.516666667,2815.517993,20,1,0.062373392,2.741013765,1.229638696,5.416719437,10,0.255605459,8.159985542,2.602161646,0.515974224,2.239341736,1.236774921,1.251607716,6.017980099,1.048812389,4.600313425,10,10,0.91357851,0.997452557,5.044525862,4.628032923,9.758530617,0.326055408,2.941900253,10,10,5.551623821,10,4.168484211,5.422550201
Dexmethylphenidate,passed,233.1415789,2.254935082,1,2,38.33,0,2,4,66.7282,0.182,1,1,1,0.438271605,899.3097247,16,2,0.084211901,0.103767857,0.067612879,2.973424554,0.26832509,0.033454031,0.286698222,0.062439412,0.042957168,10,0.184468821,0.1258187,0.60743323,0.070946597,0.273122445,0.118998997,0.17983193,0.052482955,0.119057722,0.116031751,0.165628925,0.107961647,0.022387558,0.182832681,0.520193994,0.355366111,0.108225472,0.293606579,1.802167773,0.104218438
Dextromethorphan,passed,271.1936144,3.493774351,0,2,12.47,0,4,1,82.5632,0.00851,1,1,1,0.431952663,777.3190049,12,17,7.363399982,10,10,10,10,4.799010277,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Dextrothyroxine,passed,776.6866815,3.727307065,3,4,92.78,0,2,5,126.788,0.00898,0,0,0,0.482758621,94034.3039,124,1,1.813616753,10,10,6.37204957,10,10,10,10,10,10,10,9.455118656,10,10,10,6.381330013,10,10,10,10,10,9.698541164,3.168023467,10,10,10,10,10,10,9.212757111
Dezocine,passed,245.1779644,3.23009643,2,2,46.25,0,3,0,74.1902,0.014,1,1,0,0.671052632,7996.636885,32,4,0,0,0.877372146,1.151926756,0.056483328,0.004911471,0,0.014569706,0.020022709,0.008182709,0,0,0.021385686,0.058915323,0,0,0,0.00690076,0,0.008843775,0.144849747,0.007657937,0,0.00252236,0.007879369,0.009061456,0.007494734,0,0.005416076,0.01454381
Diazoxide,passed,229.9916759,1.000486454,1,4,58.53,0,2,0,54.8408,0.552,1,1,0,0.547368421,55774.75576,602,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
DiclofeNaNc,passed,295.016684,4.259009233,2,3,49.33,0,2,4,75.4614,0.00447,1,1,0,0.486486486,23283.50323,30,1,10,10,10,6.475295782,10,10,10,10,10,10,10,3.61831975,10,8.7144804,3.46431756,7.973678112,6.834624767,10,4.34614563,10,10,10,10,10,10,10,10,4.356744289,10,10
DiclofeNaNmide,passed,303.9146035,0.393396708,2,4,120.32,0,1,2,59.9834,0.398,1,1,0,0.547368421,27332.2638,26,1,10,5.067505121,10,10,10,10,1.179720581,0.573862731,5.158444405,10,1.370481133,10,10,6.354887724,2.264195204,9.910356522,3.188336015,10,4.109553099,10,1.884492457,5.651741266,10,1.317157984,1.594747543,10,2.33104372,1.641260982,3.195822001,10
Dicoumarol,passed,336.0633881,-1.592789372,2,4,93.06,0,4,2,89.1928,0.0662,1,0,0,0.534883721,155.8210052,20,1,1.030772686,8.34674263,8.967477798,3.041185379,10,3.35465765,8.583190918,9.401129723,7.300761223,10,10,10,10,7.932406425,10,10,8.987182617,10,10,10,10,5.991213322,10,9.218778133,7.05820179,10,10,10,9.842378616,8.510341644
Dicyclomine,passed,309.2667794,4.925893147,0,2,29.54,0,2,8,91.7827,0.00327,1,1,1,0.20212766,10900.37916,22,1,0,0.56154722,8.412851334,0.230370156,0.011496504,0,0.024624201,0.010120378,6.764817238,1.19683969,0.476170391,0.068023879,0.089852415,0.016241701,0.047894161,0.067557536,0.081816386,0.323356718,0.033154683,3.630660295,10,0.00480283,0.130754955,0.167142754,0.020543205,0.69010514,4.940295696,0.17120789,0.221445233,4.811089993
Didanosine,failed,236.0909403,-0.351636408,2,6,88.74,0,3,2,58.5938,6.58,1,1,0,NaN,1850.142689,18,1,10,5.093683004,2.081238985,1.952978849,6.614348888,0.496573031,3.106799245,2.984349966,1.809625268,7.619907379,4.159568787,10,3.736496449,4.003885031,2.701881647,2.144414425,9.083802223,8.014983177,3.210118175,8.966282368,2.336450458,8.905005455,5.127152205,4.796081066,0.758812189,5.145497322,3.699792385,2.041403055,7.881886005,5.538740158
Dienestrol,passed,266.1306798,4.831961091,2,2,40.46,0,2,3,84.3572,0.0123,1,1,0,0.325443787,1307522.364,656,1,0.058904357,0.226209901,0.131807074,1.198394299,0.843457222,0.241446048,0.709412068,0.832736254,0.219112232,0.642335713,0.181783482,0.335101813,0.930546701,2.723376274,10,0.155825898,10,0.150477931,0.527429178,0.137783535,1.679577112,0.555809438,1.937414885,10,2.849998474,2.848439336,0.971309423,10,0.210876033,0.24623996
Diethylcarbamazine,passed,199.1684623,0.091605889,0,2,26.79,0,1,2,58.2767,236,1,1,1,0.458937198,23283.50323,10,1,10,10,2.373003244,2.166725278,7.726097584,0.620309532,7.756225109,3.616984844,2.016113043,10,10,3.61831975,2.605581999,3.136099219,3.46431756,7.973678112,6.834624767,10,4.294697523,10,8.391875267,10,1.987955868,7.065508842,1.39918673,8.607328892,10,4.356744289,10,8.457582474
Diethylstilbestrol,passed,268.1463299,5.193882748,2,2,40.46,0,2,4,83.2406,0.0109,0,1,0,0.432835821,1307522.364,656,1,0.143967718,0.226209901,0.694365919,2.469125271,0.843457222,0.630900383,0.709412068,0.832736254,1.935178876,0.642335713,0.181783482,2.145992756,0.930546701,2.723376274,10,0.624725521,10,6.615538597,1.908823967,0.196243055,1.679577112,0.555809438,1.937414885,10,2.849998474,2.848439336,0.971309423,10,0.306675911,0.399344981
Diflorasone,passed,410.1904804,1.341850387,3,5,94.83,0,4,2,102.3163,0.0853,1,1,0,0.350282486,256392.7478,268,4,6.519165516,9.529127598,5.496713638,4.095000267,10,10,10,9.420459747,4.368388176,9.541958809,6.618411541,2.70279932,8.644962311,8.877725124,6.923449516,2.976455688,7.945681095,4.709535599,3.025994658,3.700628638,6.544697762,5.595084667,4.75985527,6.586448193,5.095907211,10,6.734411716,7.282115936,5.538618088,5.745376587
Diflunisal,passed,250.0441505,3.909892637,2,3,57.53,0,2,2,60.8641,0.0711,1,1,0,0.470588235,8170.888632,30,1,6.102405071,10,0.820853233,0.489034012,2.722895622,0.307841688,1.505134642,2.685022354,1.625647783,7.62326622,10,0.89997071,1.945427537,3.136099219,1.958506286,0.637826741,6.834624767,10,1.078719854,10,6.805960655,5.680968046,0.648787886,7.065508842,0.782274485,2.162109017,10,3.340286016,10,1.79864502
DiflupredNaNte,passed,508.2272599,3.004232893,1,5,106.97,0,4,8,125.3756,0.0097,0,0,0,0.350282486,256392.7478,268,2,6.519165516,9.529127598,5.496713638,4.095000267,10,10,10,9.420459747,4.368388176,9.541958809,6.618411541,2.70279932,8.644962311,8.877725124,6.923449516,2.976455688,7.945681095,4.709535599,3.025994658,3.700628638,6.544697762,5.595084667,4.75985527,6.586448193,5.095907211,10,6.734411716,7.282115936,5.538618088,5.745376587
Digitoxin,passed,764.4346921,3.597491739,5,12,182.83,0,8,7,191.7173,0.0289,0,0,0,0.352112676,55774.75576,602,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Digoxin,passed,780.4296068,2.366680672,6,13,203.06,0,8,7,193.2328,0.127,0,0,0,0.352112676,55774.75576,602,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Dihydroergotamine,passed,583.2794693,2.711622291,3,6,118.21,0,8,4,159.3948,0.229,0,0,0,0.516666667,2815.517993,20,0,0.062373392,2.741013765,1.229638696,5.416719437,10,0.255605459,8.159985542,6.094659805,0.515974224,2.239341736,1.236774921,1.251607716,6.017980099,1.048812389,6.313772202,10,10,0.91357851,6.352208376,5.044525862,4.628032923,9.758530617,0.326055408,2.941900253,10,10,5.551623821,10,4.168484211,5.422550201
Dihydrotachysterol,passed,398.3548661,7.398204005,1,1,20.23,0,3,5,129.1122,0.000125,0,0,1,0.451327434,44680.97823,150,0,3.481226444,10,0.077497616,0.713119477,1.624243975,0.764312327,0.465412274,1.399824142,0.182741925,5.048594475,1.164615154,5.92004323,1.497543275,9.874783516,0.566891998,0.69055742,4.940071583,1.01386106,5.801544428,10,1.429979563,1.725871146,0.245761268,0.818111688,0.268560678,4.19446826,2.807871103,2.524309397,10,5.01123476
Dihydroxyaluminium,passed,137.0268712,0.4902,1,2,52.32,0,0,2,15.0758,NaN,1,0,0,0.6,87230.99774,518,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Diltiazem,passed,414.161328,2.727251884,0,4,59.08,0,3,7,114.3663,0.0168,1,1,0,0.494252874,0,0,7,0.0338163,0,0.295880049,0.046578774,0.024971515,10,0.026027161,0.014024815,0.026376767,0.080670141,0,0,0.027419523,0.041593414,0.010763327,0.021680789,0.005933909,0.040577624,1.02706942,0,0.225560434,0.021156426,0,0.048615182,0,0.132773019,0,0,0,3.1118536
DimenhydriNaNte,passed,469.1880675,3.651907262,1,1,13.67,0,4,6,90.9439,0.00125,1,1,1,0.392156863,0,0,11,0.015715607,3.65049243,0.821691573,0.468008608,2.634119272,0.206760287,4.439896584,3.860967875,0.27770406,1.866600156,1.18233645,0.496618852,0.802930653,0.221367896,1.706133068,0.125068769,2.750898838,0.407100767,0.26927653,2.138170123,1.168346405,0.453772113,0.050176028,2.241176188,1.707205772,2.094831586,2.018864393,2.547428608,1.58886683,0.826448143
Dimetindene,passed,292.1939488,3.73870461,0,2,16.13,0,3,5,93.5661,0.0384,1,1,1,0.392156863,10900.37916,22,1,0.015715607,3.65049243,0.821691573,0.468008608,2.634119272,0.206760287,4.439896584,3.860967875,6.764817238,1.866600156,1.18233645,0.496618852,0.802930653,0.221367896,1.706133068,0.125068769,2.750898838,0.407100767,0.26927653,3.630660295,1.168346405,0.453772113,0.130754955,2.241176188,1.707205772,2.094831586,4.940295696,2.547428608,1.58886683,0.826448143
Dinoprost Tromethamine,passed,475.3145174,2.611054417,4,5,97.99,0,1,15,100.4707,NaN,1,0,0,0.529411765,24162.33657,14,1,2.36969924,5.763751268,0.183871612,0.341452792,5.224517345,0.478581309,10,10,3.005141973,10,1.570974708,5.220607042,8.731801033,1.198509634,5.896767616,1.809980512,2.465568781,2.065876961,3.127762437,1.343121946,1.038654685,5.992988825,2.329800963,4.187584758,1.340258479,4.158279181,3.858712673,2.011544704,2.086027145,3.497469664
Dinoprostone,passed,352.2249741,3.225270137,3,5,94.83,0,1,12,99.4351,0.044,1,1,0,0.481481481,33454,8,1,10,2.180245996,0.316896975,2.361602664,10,0.625134349,3.52305305,5.612268925,1.512769938,8.159059525,1.599591255,10,2.168387294,1.269093335,10,8.362468719,1.767500043,6.878188133,2.708395839,8.982016563,6.806909084,8.776536465,0.422718331,5.193012238,5.156141758,5.988815546,3.692397594,10,7.91445446,2.756040812
Diphenhydramine,passed,255.1623143,3.651907262,0,2,12.47,0,2,6,79.927,0.0752,1,1,1,0.392156863,0,0,1,0.015715607,3.65049243,0.821691573,0.468008608,2.634119272,0.206760287,4.439896584,3.860967875,0.27770406,1.866600156,1.18233645,0.496618852,0.802930653,0.221367896,1.706133068,0.125068769,2.750898838,0.407100767,0.26927653,2.138170123,1.168346405,0.453772113,0.050176028,2.241176188,1.707205772,2.094831586,2.018864393,2.547428608,1.58886683,0.826448143
Diphenylpyraline,passed,281.1779644,3.660068867,0,2,12.47,0,3,4,87.359,0.0188,1,1,1,0.438271605,899.3097247,16,0,0.015715607,3.65049243,0.821691573,0.468008608,2.634119272,0.206760287,4.439896584,3.860967875,0.27770406,1.866600156,1.18233645,0.496618852,0.802930653,0.221367896,1.706133068,0.125068769,2.750898838,0.407100767,0.26927653,2.138170123,1.168346405,0.453772113,0.050176028,2.241176188,1.707205772,2.094831586,2.018864393,2.547428608,1.58886683,0.826448143
Dipivefrin,passed,351.204573,3.714854507,2,4,84.86,0,1,9,94.9381,0.0582,1,1,0,0.565445026,89139.86205,74,1,2.362123251,5.376092196,2.47418952,5.416719437,10,2.873353481,8.159985542,2.602161646,2.781012058,10,5.883807182,1.251607716,6.017980099,1.048812389,6.599007607,10,10,2.476612806,0.997452557,5.044525862,4.628032923,9.758530617,10,10,10,10,5.551623821,10,4.168484211,5.831739426
Dipyridamole,passed,504.3172518,1.806389258,4,12,145.44,0,4,12,142.7794,0.922,0,0,0,0.506666667,1275.002097,14,0,5.721350193,4.86571002,8.279202461,10,8.893613815,5.087971687,5.902665615,10,4.465662479,7.692492485,10,2.353960276,7.63650465,2.672997236,5.834105253,4.368881702,7.628414392,10,3.875127435,7.926607609,10,10,1.293206275,9.198090553,2.123184443,6.140532732,5.841405392,8.618778229,4.781298161,6.40662241
Disopyramide,passed,339.2310626,3.468436485,1,3,59.22,0,2,8,102.3002,0.0493,1,1,0,0.513888889,48542.27555,28,4,0.071714014,1.726536989,10,1.448070228,2.163654566,0.665258169,1.214681208,3.360435486,10,1.294655561,3.730516911,0.43915388,1.046495795,3.408173919,3.166128635,2.089816093,2.113108039,1.542994142,0.921533942,3.630660295,10,2.101608396,3.429589152,4.402866125,1.537622929,1.426393986,7.46541214,1.641852498,1.706915021,4.811089993
Disulfiram,passed,296.0509314,4.159758922,0,0,6.48,0,0,7,88.2352,0.0126,1,1,1,0.613207547,48685.06623,436,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Dobutamine,passed,301.1677936,2.616255192,4,4,72.72,0,2,7,88.3911,0.0137,1,1,0,0.457627119,89139.86205,74,1,2.362123251,5.376092196,2.66193819,0.497891709,10,2.873353481,3.394628048,1.309535742,9.283231735,10,4.539180279,0.481972918,1.276782393,0.25021486,1.989638507,0.38595745,8.287089109,2.476612806,0.441770941,1.402355075,4.420117378,6.518067122,2.618736982,2.319842935,0.295605153,10,2.251211882,3.500741482,2.735410929,5.831739426
Docetaxel,failed,807.3466054,2.916790955,5,10,224.45,0,6,13,203.9017,0.0127,0,0,0,0.691891892,243334.2738,1034,5,3.259106874,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8.515555382,10,10,10,10,10,10,10
Dofetilide,passed,441.1392124,0.237915753,2,6,104.81,0,2,9,113.2743,0.0198,1,1,0,0.522292994,48947.977,34,1,0.510324657,3.721050262,5.897294044,10,0.625986397,10,5.00395751,0.306430727,10,1.492853045,4.427771568,1.117395282,2.11867547,10,10,0.717420101,1.453016996,2.797366619,10,7.741277933,6.674655676,1.461214483,0.060449611,5.589494944,2.130009413,3.0811795,5.346404076,1.860502481,2.836660385,0.554890752
Dolasetron,passed,324.1473925,2.32589023,1,3,62.4,0,5,3,89.3352,0.261,1,1,0,0.471962617,64.46935113,4,0,0.022261918,0.01919488,0.290463626,0.155607402,0.012097524,0,0.01842277,0,0.012798001,0.022014432,0.118068606,0.072514819,0.025476971,0.019232191,0.013244344,0.551884294,0.02724566,0.327315122,0.011344914,0.574257553,0.018268817,0.309002265,0,0.086815178,0.014682491,0.01724054,0.056532346,0.047350068,0.732709706,1.633728981
Domperidone,failed,425.1618527,2.900103093,2,3,67.92,0,5,5,119.3737,0.0925,1,1,0,0.394230769,39011.46581,40,2,0.007850518,0.067573931,0.828758955,0.774569303,0.092959851,0.120648146,1.243043959,0.056307014,0.017448997,0.036263946,0.107775331,0.045956014,0.023290447,10,0.304680526,0.043005444,0.258125238,0.038619764,0.056782762,0.101115141,0.390641883,0.013159642,0.0053665,0.249922402,0.076274909,0.688240379,0.085495941,0.191675231,0.111094236,6.041281223
